,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
200,Forever 21,Off-the-Shoulder Mini Dress,dress,Product Code : 2000420752,08/18/2020 17:13:52,Off-the-Shoulder Mini Dress | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/dress/2000420752,$18.00,"- 92% polyester, 8% spandex", , ,92% , , , ,8% , , , , , , 
201,Forever 21,Mid-Rise Skinny Jeans,bottoms,Product Code : 2000408286,08/18/2020 17:13:59,Mid-Rise Skinny Jeans | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/bottom_jeans/2000408286,$19.99,"- 64% cotton, 30% polyester, 3% other fibers, 3% spandex", ,64% ,30% , , , ,3% , , , , , , 
202,Forever 21,Wide-Leg Cami Jumpsuit,top,Product Code : 2000409005,08/18/2020 17:14:07,Wide-Leg Cami Jumpsuit | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/rompers-jumpsuits/2000409005,$22.99,"- 92% rayon, 8% elastane", , , , ,92% , , , , , ,8% , , 
203,Forever 21,Ribbed Pickup-Sleeve Top,top,Product Code : 2000410159,08/18/2020 17:14:13,Ribbed Pickup-Sleeve Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000410159,$19.99,"- 49% cotton, 30% acrylic, 21% nylon", ,49% , ,30% , , , ,21% , , , , , 
204,Forever 21,Brooklyn New York Graphic Top,top,Product Code : 2000410420,08/18/2020 17:14:19,Brooklyn New York Graphic Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000410420,$17.99,"- 99% cotton, 1% spandex", ,99% , , , , ,1% , , , , , , 
205,Forever 21,Shadow Striped Sweater,outterwear/jacket,Product Code : 2000409270,08/18/2020 17:14:28,Shadow Striped Sweater | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000409270,$19.99,"- 63% cotton, 37% acrylic", ,63% , ,37% , , , , , , , , , 
206,Forever 21,Active Drawstring Joggers,bottoms,Product Code : 2000409013,08/18/2020 17:14:34,Active Drawstring Joggers | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/activewear/2000409013,$19.99,"- 92% polyester, 8% spandex", , ,92% , , , ,8% , , , , , , 
207,Forever 21,Glen Plaid Mini Skirt,bottoms,Product Code : 2000407364,08/18/2020 17:14:39,Glen Plaid Mini Skirt | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/bottoms/2000407364,$14.99,"- 50% cotton, 48% polyester, 2% spandex", ,50% ,48% , , , ,2% , , , , , , 
208,Forever 21,Crochet Ruffle-Trim Top,top,Product Code : 2000408910,08/18/2020 17:14:48,Crochet Ruffle-Trim Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000408910,$22.99,"- 59% cotton, 41% polyester", ,59% ,41% , , , , , , , , , , 
209,Forever 21,Houndstooth Pinafore Dress,dress,Product Code : 2000409870,08/18/2020 17:14:55,Houndstooth Pinafore Dress | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/dress/2000409870,$24.99,"- 98% polyester, 2% spandex", , ,98% , , , ,2% , , , , , , 
210,Forever 21,Lace-Trim Crop Top,top,Product Code : 2000408890,08/18/2020 17:15:00,Lace-Trim Crop Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000408890,$9.99,"- 90% rayon, 10% spandex", , , , ,90% , ,10% , , , , , , 
211,Forever 21,Cowboy Boot Graphic Cami,top,Product Code : 2000422640,08/18/2020 17:15:07,Cowboy Boot Graphic Cami | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000422640,$7.99, , , , , , , , , , , , , , 
212,Forever 21,Woman Graphic Tee,top,Product Code : 2000406191,08/18/2020 17:15:13,Woman Graphic Tee | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000406191,$12.99,- 100% cotton, ,100% , , , , , , , , , , , 
