,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
57,American Apparel,Ribbed Thick Strap Thong Bodysuit,bodysuit/romper,ctw3528w,08/18/2020 14:59:03,Ribbed Thick Strap Thong Bodysuit | American Apparel,https://americanapparel.com/ribbed-thick-strap-thong-bodysuit/,$28.00, , , , , , , , , , , , , , 
58,American Apparel,Shadow Stripe Bodysuit,bodysuit/romper,sha3648w,08/18/2020 14:59:16,Shadow Stripe Bodysuit | American Apparel,https://americanapparel.com/shadow-stripe-bodysuit/,$28.00,92% nylon 8% spandex, , , , , , ,8% ,92% , , , , , 
59,American Apparel,Stretch Terry Legging,bottoms,rsatt328w,08/18/2020 14:59:28,Stretch Terry Legging | American Apparel,https://americanapparel.com/stretch-terry-legging/,$13.58 - $36.95,80% cotton / 20% polyester, ,80% ,20% , , , , , , , , , , 
60,American Apparel,The Disco Pant,bottoms,rsaah300w,08/18/2020 14:59:41,The Disco Pant | American Apparel,https://americanapparel.com/the-disco-pant/,$21.80 - $64.60,90% nylon / 10% spandex, , , , , , ,10% ,90% , , , , , 
61,American Apparel,The Easy Jean,bottoms,rsams3334w,08/18/2020 14:59:53,The Easy Jean | American Apparel,https://americanapparel.com/the-easy-jean/,$13.80 - $66.80,2-way core stretch fashion denim made with high performance lycra wrapped in poly for added strength and durability. comfort with performance giving you both stretch and recovery in a fashion forward product. you know and love it in our iconic easy jean., , , , , , , , , , , , , 
62,American Apparel,The Easy Jean,bottoms,rsams3334w,08/18/2020 15:00:05,The Easy Jean | American Apparel,https://americanapparel.com/the-easy-jean/?&defaultImageAlt=The%20Easy%20Jean%20(Black),$13.80 - $66.80,2-way core stretch fashion denim made with high performance lycra wrapped in poly for added strength and durability. comfort with performance giving you both stretch and recovery in a fashion forward product. you know and love it in our iconic easy jean., , , , , , , , , , , , , 
63,American Apparel,The Easy Jean,bottoms,rsams3334w,08/18/2020 15:00:18,The Easy Jean | American Apparel,https://americanapparel.com/the-easy-jean/?&defaultImageAlt=The%20Easy%20Jean%20(Dark%20Wash),$13.80 - $66.80, , , , , , , , , , , , , , 
64,American Apparel,The Riding Pant,bottoms,or300w,08/18/2020 15:00:30,The Riding Pant | American Apparel,https://americanapparel.com/the-riding-pant/,$19.54 - $66.02, , , , , , , , , , , , , , 
65,American Apparel,Thick Rib Maxi Skirt,bottoms,vvr3607w,08/18/2020 15:00:42,Thick Rib Maxi Skirt | American Apparel,https://americanapparel.com/thick-rib-maxi-skirt/,$11.50 - $33.29,"a cotton/poly blend, medium weight stretch rib, designed to shape your body.", , , , , , , , , , , , , 
66,American Apparel,Tri-Blend Leisure Pant,bottoms,rsatr334w,08/18/2020 15:00:54,Tri-Blend Leisure Pant | American Apparel,https://americanapparel.com/tri-blend-leisure-pant/,$16.40 - $28.00,50% polyester / 25% cotton / 25% rayon, ,25% ,50% , ,25% , , , , , , , , 
67,American Apparel,Tri-Blend Lightweight Pullover,outterwear/jacket,br394w,08/18/2020 15:01:06,Tri-Blend Lightweight Pullover | American Apparel,https://americanapparel.com/tri-blend-lightweight-pullover/,$7.17 - $28.01,50% polyester / 25% cotton / 25% rayon, ,25% ,50% , ,25% , , , , , , , , 
68,American Apparel,Tri-Blend Short Sleeve Scrimmage T-Shirt,top,tr480w,08/18/2020 15:01:18,Tri-Blend Short Sleeve Scrimmage T-Shirt | American Apparel,https://americanapparel.com/tri-blend-short-sleeve-scrimmage-t-shirt/,$19.69 - $20.68,50% polyester / 25% cotton / 25% rayon, ,25% ,50% , ,25% , , , , , , , , 
