,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
243,American Eagle,AE Henley Romper,bodysuit/romper,1399-5376,08/18/2020 15:23:10,AE Henley Romper,https://www.ae.com/us/en/p/women/loungewear/jumpsuits-dresses/ae-henley-romper/1399_5376_639?isFiltered=false&nvid=plp%3Acat360011&menu=cat4840004,$49.95,100% cotton, ,100% , , , , , , , , , , , 
244,American Eagle,AE Cowl Neck Romper,bodysuit/romper,1399-4922,08/18/2020 15:23:16,AE Cowl Neck Romper,https://www.ae.com/us/en/p/women/dresses/our-faves/ae-cowl-neck-romper/1399_4922_400?isFiltered=false&nvid=plp%3Acat360011&menu=cat4840004,$44.95,"94% viscose, 6% elastane", , , , , , , , , ,94% ,6% , , 
245,American Eagle,AE Cowl Neck Romper,bodysuit/romper,1399-4922,08/18/2020 15:23:25,AE Cowl Neck Romper,https://www.ae.com/us/en/p/women/dresses/rompers/ae-cowl-neck-romper/1399_4922_823?isFiltered=false&nvid=plp%3Acat360011&menu=cat4840004,$44.95,"94% viscose, 6% elastane", , , , , , , , , ,94% ,6% , , 
246,American Eagle,AE Denim Tie Back Romper,bodysuit/romper,0397-5345,08/18/2020 15:23:33,AE Denim Tie Back Romper,https://www.ae.com/us/en/p/women/dresses/rompers/ae-denim-tie-back-romper/0397_5345_154?isFiltered=false&nvid=plp%3Acat360011&menu=cat4840004,$49.95,100% cotton, ,100% , , , , , , , , , , , 
247,American Eagle,AE Smocked One Shoulder Romper,bodysuit/romper,1399-5349,08/18/2020 15:23:40,AE Smocked One Shoulder Romper,https://www.ae.com/us/en/p/women/dresses/rompers/ae-smocked-one-shoulder-romper/1399_5349_676?isFiltered=false&nvid=plp%3Acat360011&menu=cat4840004,$44.95,100% viscose, , , , , , , , , ,100% , , , 
248,American Eagle,AE Smocked One Shoulder Romper,bodysuit/romper,1399-5349,08/18/2020 15:23:46,AE Smocked One Shoulder Romper,https://www.ae.com/us/en/p/women/dresses/rompers/ae-smocked-one-shoulder-romper/1399_5349_400?isFiltered=false&nvid=plp%3Acat360011&menu=cat4840004,$44.95,100% viscose, , , , , , , , , ,100% , , , 
249,American Eagle,AE Ruffle Wrap Romper,bodysuit/romper,0397-5090,08/18/2020 15:23:52,AE Ruffle Wrap Romper,https://www.ae.com/us/en/p/women/dresses/rompers/ae-ruffle-wrap-romper/0397_5090_900?isFiltered=false&nvid=plp%3Acat360011&menu=cat4840004,$44.95,100% viscose, , , , , , , , , ,100% , , , 
250,American Eagle,AE Hemp Denim Long Sleeve Romper,bodysuit/romper,1399-5387,08/18/2020 15:23:58,AE Hemp Denim Long Sleeve Romper,https://www.ae.com/us/en/p/women/jumpsuits-rompers/rompers/ae-hemp-denim-long-sleeve-romper/1399_5387_154?isFiltered=false&nvid=plp%3Acat360011&menu=cat4840004,$99.95,"70% cotton, 30% hemp", ,70% , , , , , , , , , , , 
251,American Eagle,AE Surplice Romper,bodysuit/romper,0397-5106,08/18/2020 15:24:04,AE Surplice Romper,https://www.ae.com/us/en/p/women/jumpsuits-rompers/rompers/ae-surplice-romper/0397_5106_700?isFiltered=false&nvid=plp%3Acat360011&menu=cat4840004,$44.95,100% viscose, , , , , , , , , ,100% , , , 
252,American Eagle,AE Surplice Romper,bodysuit/romper,0397-5106,08/18/2020 15:24:09,AE Surplice Romper,https://www.ae.com/us/en/p/women/jumpsuits-rompers/rompers/ae-surplice-romper/0397_5106_615?isFiltered=false&nvid=plp%3Acat360011&menu=cat4840004,$44.95,100% viscose, , , , , , , , , ,100% , , , 
